id,number,name,description,numCredits,department_id,acronym
1,NULL,"Legal Environment of Business","General history, structure, and principles of law. The legal system, as an agency of social control; good business practices, and tool for change. The court systems, Constitution, torts, contracts, administrative agencies, and agency law.",3,1,"ACCT 215"
2,NULL,"Financial Accounting","Introduction to the basic concepts and procedures of financial accounting from a user perspective. The course examines the accounting cycle, business terminology, basic control procedures, and the preparation and evaluation of financial reports, with an emphasis on financial statement analysis.",3,1,"ACCT 284"
3,NULL,"Managerial Accounting","Understanding of fixed and variable costs and their role in planning, control and performance evaluation.  Examination of alternative costing methods.  Making decisions by identifying and developing relevant information.  Development of spreadsheet skills.",3,1,"ACCT 285"
4,NULL,"The Accounting Cycle","Interactive computer-based analysis of the accounting cycle including transactions and financial statements.  Preparation of journal entries and adjusting entries and completion of the closing process.",1,1,"ACCT 301"
5,NULL,"Business Law","Continuation of 215. Sales under the Uniform Commercial Code, negotiable instruments, secured transactions, property transactions, partnerships, and wills and estates.",3,1,"ACCT 316"
6,NULL,"Intermediate Managerial Accounting","Generation, communication and use of information to assist management with planning, control, and decision making in manufacturing and service organizations.  Includes cost concepts and relevance to decision situations, operational and capital budgeting, and performance evaluation.  Emphasis on developing effective teamwork skills as well as spreadsheet capabilities.",3,1,"ACCT 383"
7,NULL,"Accounting Information Systems","Analysis of concepts and procedures underlying the automated accumulation and processing of accounting data. EDP internal control and audit techniques. Trends in accounting information systems.",3,1,"ACCT 384"
8,NULL,"Intermediate Accounting I","The conceptual framework of financial accounting. Communication of financial information on the income and retained earnings statements, statement of cash flows, and the balance sheet. Accounting concepts relating to current and operational assets of the firm. Identification of material differences between US GAAP and International Accounting Standards.",3,1,"ACCT 386"
9,NULL,"Intermediate Accounting II","Financial accounting and reporting practices for business entities. Generally accepted accounting principles (GAAP) relative to firm liabilities, equity, income, taxes, employee benefits, leases, accounting changes and cash flows. Identification of material differences between US GAAP and International Accounting Standards .  Discussion of current issues in financial accounting.  Focus on written communication.",3,1,"ACCT 387"
10,NULL,"Advanced Managerial Accounting","Business simulation focusing on generation and communication of information to assist management with financial decision-making. Emphasis on developing teamwork, written communication, and oral presentation skills.",3,1,"ACCT 483"
11,NULL,"Advanced Accounting Information Systems","Advanced accounting information systems concepts; database design and information retrieval, internal controls within computerized accounting information systems, financial reporting in an electronic environment.",3,1,"ACCT 484"
12,NULL,"Principles of Federal Income Tax","Introduction to the fundamentals of federal income taxation and concepts applicable to all tax entities. Addresses issues related to the measurement and recognition of income, deductions, gains, and losses, taxation of property transactions, and basis / cost recovery concepts. Includes coverage of tax law policy objectives, tax implications of business and investment decisions, tax versus financial reporting treatment of common business transactions, and ethical issues related to tax compliance and planning.",3,1,"ACCT 485"
13,NULL,"Volunteer Income Tax Assistance","Introduction to and field work in the preparation of individual income tax returns (state and federal). Basic coverage of filing and residency status, taxable income, exemptions, deductions, and credits. Tax software usage and online filing.",1,1,"ACCT 487"
14,NULL,"Governmental and Non-profit Institution Accounting","Accounting and financial reporting principles of local and state governments, including universities, schools, and hospitals.  In addition, accounting and financial reporting of non-profit organizations will be addressed.  Financial statements of local governmental units and the university are explored.",3,1,"ACCT 488"
15,NULL,"Independent Study",,1-3,1,"ACCT 490"
16,NULL,"Advanced Accounting Problems","Accounting for business combinations and affiliated companies, intercompany transactions, and consolidated financial statements; Partnership accounting;  Segment and Interim Reporting;  Multinational accounting.",3,1,"ACCT 495"
17,NULL,"International Accounting","Financial reporting issues in a global environment, including introduction to International Financial Reporting Standards (IFRS) and the potential for the use of IFRS in the U.S. Accounting and managerial issues faced by multinational corporations. Technical issues such as transfer pricing, inflation accounting and taxation will be discussed.",3,1,"ACCT 496"
